stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,,COLUMBUS ST & BROADWAY,,41.392985,-81.536518,,,0,
2,,10800 BROOKPARK RD (HOME DEPOT),,41.418571,-81.760947,,,0,
4,,EUCLID AV & E 100TH ST,,41.503697,-81.618108,,,0,
5,,10081 W RIDGEWOOD DR,,41.384506,-81.756317,,,0,
14,,PROSPECT AV & ONTARIO ST,,41.49803,-81.692012,,,0,
19,,1028 PROSPECT AV E,,41.499123,-81.684377,,,0,
20,,1027 SUPERIOR AV E,,41.502891,-81.687717,,,0,
24,,10406 KINSMAN RD,,41.469926,-81.612171,,,0,
25,,10335 DETROIT AV,,41.481026,-81.758801,,,0,
26,,10335 DETROIT AV,,41.48118,-81.758991,,,0,
28,,QUINCY AV & WOOODHILL RD,,41.49346,-81.612313,,,0,
31,,10603 DETROIT AV,,41.481524,-81.760756,,,0,
32,,10603 DETROIT AV,,41.481593,-81.76059,,,0,
39,,ST. CLAIR AV & E 106TH ST,,41.539638,-81.613489,,,0,
41,,10708 KINSMAN RD,,41.469199,-81.608649,,,0,
43,,MILES AV & E ELMARGE RD,,41.445093,-81.609952,,,0,
47,,10705 LORAIN AV,,41.46453,-81.760531,,,0,
65,,BUCKEYE RD & MARTIN LUTHER KING DR,,41.481769,-81.609437,,,0,
70,,ST. CLAIR AV & E 112TH ST,,41.540794,-81.60658,,,0,
72,,W PLEASANT VALLEY RD & CUYAHOGA COM COLLEGE WEST,,41.363855,-81.764191,,,0,
78,,11109 W PLEASANT VALLEY RD,,41.363835,-81.763759,,,0,
83,,11216 STOKES BLVD,,41.493975,-81.604735,,,0,
84,,PEARL RD & IDLEWOOD TRAIL,,41.330184,-81.836678,,,0,
99,,W PLEASANT VALLEY RD & E BICENTENNIAL DR,,41.363934,-81.768807,,,0,
109,,BROOKPARK RD & CHEVROLET BLVD,,41.418546,-81.770086,,,0,
110,,11801 LAKESHORE BLVD,,41.555098,-81.602681,,,0,
111,,11801 LAKESHORE BLVD,,41.555139,-81.602752,,,0,
113,,11820 EDGEWATER DR,,41.490583,-81.771024,,,0,
114,,11843 EDGEWATER DR,,41.490328,-81.770474,,,0,
115,,CLIFTON BLVD & FRY AV,,41.488505,-81.772355,,,0,
119,,PEARL RD & PROGRESS DR,,41.325352,-81.836814,,,0,
123,,12000 FAIRHILL RD,,41.493064,-81.598856,,,0,
124,,12000 FAIRHILL RD,,41.492879,-81.598898,,,0,
138,,1240 WARREN RD,,41.489551,-81.799374,,,0,
140,,BUCKEYE RD & E 124TH ST,,41.480316,-81.596803,,,0,
142,,1245 WARREN RD,,41.489509,-81.79929,,,0,
146,,EDGEWATER DR & COVE DR,,41.491859,-81.774617,,,0,
147,,W PLEASANT VALLEY RD & PARMA PARK BLVD,,41.363947,-81.776212,,,0,
148,,W PLEASANT VALLEY RD & PARMA PARK BLVD,,41.363861,-81.776437,,,0,
149,,12509 ST. CLAIR AV,,41.541627,-81.597057,,,0,
150,,12518 LAKESHORE BLVD,,41.560109,-81.597768,,,0,
151,,12521 LAKESHORE BLVD,,41.560095,-81.597989,,,0,
152,,12543 LAKE AV,,41.490906,-81.777146,,,0,
153,,12547 LAKE AV,,41.49086,-81.777442,,,0,
168,,12720 LAKESHORE BLVD,,41.561224,-81.596059,,,0,
178,,13200 PEARL RD,,41.317731,-81.835635,,,0,
190,,12910 LAKESHORE BLVD,,41.562668,-81.593901,,,0,
192,,LAKE AV & GOLD COAST LN,,41.491448,-81.779969,,,0,place_wipl
199,,GOLD COAST LN LOOP,,41.491957,-81.779893,,,0,place_wipl
201,,CORLETT AV & CORLETT LOOP,,41.455474,-81.592621,,,0,
202,,PEARL RD & ZVERINA LN,,41.31759,-81.83543,,,0,
203,,13003 LAKESHORE BLVD,,41.562849,-81.593772,,,0,
207,,1311 CHARDON RD,,41.571641,-81.535262,,,0,
211,,13207 MILES AV,,41.445323,-81.59014,,,0,
212,,13211 LAKESHORE BLVD,,41.56458,-81.59126,,,0,
213,,13211 LAKESHORE BLVD,,41.564575,-81.591455,,,0,
217,,13300 BROOKPARK RD,,41.418514,-81.783927,,,0,
218,,1331 CHARDON RD,,41.574833,-81.537232,,,0,
222,,13405 LAKESHORE BLVD,,41.565627,-81.590029,,,0,
223,,KINSMAN RD & E 135TH ST,,41.465077,-81.589006,,,0,
228,,13478 LAKESHORE BLVD,,41.565546,-81.589632,,,0,
233,,ST. CLAIR AV & WOODWORTH RD,,41.545228,-81.590532,,,0,
242,,SLOANE AV & EDANOLA AV,,41.482871,-81.829592,,,0,
246,,SLOANE AV & DETROIT RD,,41.482585,-81.829498,,,0,
247,,CLIFTON BLVD & BUNTS RD,,41.491444,-81.790184,,,0,
254,,BARTLETT AV & E 140TH ST,,41.45754,-81.584486,,,0,
261,,14200 SUPERIOR RD,,41.515502,-81.573698,,,0,
264,,14300 TURNEY RD,,41.394521,-81.583732,,,0,
269,,14092 PEARL RD,,41.311315,-81.835385,,,0,
272,,14201 PURITAS AV,,41.433502,-81.792663,,,0,
274,,14401 TURNEY RD,,41.393703,-81.580316,,,0,
275,,14600 TURNEY RD (ST. MARTIN'S CHURCH),,41.393705,-81.580757,,,0,
287,,1470 WARREN RD,,41.483093,-81.79962,,,0,
291,,14701 TURNEY RD,,41.393525,-81.578838,,,0,
292,,14730 TURNEY RD,,41.39345,-81.578777,,,0,
293,,1476 WARRENSVILLE CTR RD,,41.519422,-81.536585,,,0,
301,,1491 CHARDON RD,,41.569789,-81.534102,,,0,
302,,BARTLETT AV & E 149TH ST,,41.457591,-81.576491,,,0,
316,,15299 BAGLEY RD,,41.369484,-81.805639,,,0,
317,,15299 BAGLEY RD,,41.369232,-81.805599,,,0,
319,,15300 HOWE RD,,41.310551,-81.815573,,,0,
321,,ST. CLAIR AV & E 153RD ST LOOP STOP 2,,41.554209,-81.574449,,,0,
323,,15410 BROOKPARK RD,,41.418592,-81.805572,,,0,
326,,W 25TH ST & FRANKLIN AV,,41.489247,-81.706577,,,0,
331,,MUNN RD & TUTTLE AV,,41.458762,-81.805359,,,0,
332,,LORAIN AV & TRISKETT RD,,41.452037,-81.80612,,,0,
333,,15583 BROOKPARK RD,,41.418493,-81.806085,,,0,
337,,15610 WALDEN AV,,41.455002,-81.570784,,,0,
339,,15650 PEARL RD,,41.30263,-81.835312,,,0,
340,,15653 PEARL RD,,41.30202,-81.835035,,,0,
341,,15655 BROOKPARK RD,,41.418514,-81.80731,,,0,
342,,15703 WALDEN AV,,41.455103,-81.570588,,,0,
343,,15708 BROOKPARK RD,,41.418636,-81.807865,,,0,
344,,MUNN RD & DORIS RD,,41.459784,-81.808043,,,0,
346,,15745 EAST BAGLEY RD,,41.371488,-81.8095,,,0,
348,,15802 SEVILLE RD,,41.434989,-81.570566,,,0,
349,,PEARL RD & KNOWLTON PKWY,,41.29942,-81.835099,,,0,
350,,15900 MAPLE HEIGHTS BLVD,,41.415821,-81.569956,,,0,
358,,15700 EAST BAGLEY RD,,41.37152,-81.809185,,,0,
361,,1601 WARREN RD,,41.479555,-81.800036,,,0,
362,,E 105TH ST & MAGNOLIA DR,,41.514912,-81.615351,,,0,
368,,BROOKPARK RD & W 161ST ST,,41.418665,-81.811009,,,0,
370,,16151 LAKESHORE BLVD,,41.580082,-81.566729,,,0,
373,,ST. CLAIR AV & HOLMES AV,,41.560106,-81.566793,,,0,
375,,MUNN RD & W 165TH ST,,41.461962,-81.81227,,,0,
381,,ST. CLAIR AV & E. 166TH ST,,41.561819,-81.564287,,,0,
383,,16608 LAKESHORE BLVD,,41.580611,-81.563749,,,0,
384,,16700 ST. CLAIR AV,,41.56262,-81.563442,,,0,
387,,16800 CHAGRIN BLVD,,41.464455,-81.562504,,,0,
392,,16812 CHAGRIN BLVD,,41.464563,-81.562044,,,0,
393,,16812 TARKINGTON AV,,41.431398,-81.562472,,,0,
394,,16813 TARKINGTON AV,,41.43145,-81.562113,,,0,
398,,17201 MILES AV,,41.438673,-81.559072,,,0,
399,,17203 HARVARD AV E,,41.449769,-81.55946,,,0,
404,,CLIFTON BLVD & GRANGER AV,,41.491506,-81.816733,,,0,
406,,17415 HARVARD AV E,,41.44992,-81.557607,,,0,
407,,17419 PURITAS AV,,41.433915,-81.818734,,,0,
408,,17439 LORAIN AV,,41.450103,-81.818658,,,0,
410,,BAGLEY RD & I-71,,41.37196,-81.821549,,,0,
411,,17515 S MILES RD,,41.435189,-81.555843,,,0,
412,,17570 LAKESHORE BLVD,,41.582773,-81.557834,,,0,
413,,LAKESHORE BLVD & WILDWOOD LN,,41.582928,-81.557828,,,0,
416,,LAKESHORE BLVD & MARCELLA RD,,41.583982,-81.557206,,,0,
418,,17700 ST. CLAIR AV,,41.568109,-81.555756,,,0,
419,,17712 PURITAS AV,,41.434062,-81.82035,,,0,
421,,17800 ST. CLAIR AV,,41.568762,-81.555144,,,0,
425,,HARVARD AV & LEE HEIGHTS BLVD,,41.4499,-81.553563,,,0,
426,,MILES AV & LEE HTS BLVD,,41.436964,-81.553391,,,0,
427,,ST. CLAIR AV & E. 179TH ST,,41.569672,-81.553701,,,0,
433,,18200 LORAIN AV,,41.450758,-81.822992,,,0,
434,,18013 PURITAS AV,,41.433981,-81.823426,,,0,
437,,EUCLID AV & CLIFFVIEW RD,,41.555477,-81.552109,,,0,
438,,18120 PURITAS AV,,41.434112,-81.823984,,,0,
439,,SLOANE AV & W CLIFTON BLVD,,41.486295,-81.823144,,,0,
441,,18324 E BAGLEY RD,,41.372001,-81.828825,,,0,
444,,18211 LORAIN AV,,41.45089,-81.822971,,,0,
445,,ST. CLAIR AV & MELVILLE RD,,41.571539,-81.551225,,,0,
446,,18213 HARVARD AV E,,41.4498,-81.551534,,,0,
448,,DETROIT AV & MAILE AV,,41.482867,-81.825743,,,0,
449,,SLOANE AV & PARK ROW,,41.485735,-81.826105,,,0,
450,,SLOANE AV & PARK ROW,,41.485814,-81.82625,,,0,
459,,18624 SYRACUSE AV,,41.574423,-81.54906,,,0,
462,,E BAGLEY RD & HEPBURN RD,,41.371912,-81.830808,,,0,
463,,E BAGLEY RD & HEPBURN RD,,41.372113,-81.831609,,,0,
464,,SLOANE AV & EDANOLA AV,,41.485204,-81.828338,,,0,
467,,18825 ROYALTON RD,,41.31438,-81.833718,,,0,
475,,ROCKY RIVER LOOP,,41.481232,-81.828173,,,0,
482,,19115 ST. CLAIR AV,,41.575778,-81.545358,,,0,
485,,19170 BAGLEY RD,,41.372308,-81.836538,,,0,
486,,19199 ST. CLAIR AV,,41.575697,-81.545279,,,0,
489,,19355 BAGLEY RD,,41.372102,-81.836919,,,0,
490,,HILLIARD BLVD & WOOSTER RD,,41.471506,-81.835105,,,0,
492,,19350 PURITAS AV,,41.434157,-81.835584,,,0,
495,,MILES RD & EMERY RD,,41.432554,-81.541829,,,0,
496,,MILES RD & EMERY RD,,41.432629,-81.542192,,,0,
497,,19516 HARVARD AV,,41.449815,-81.541924,,,0,
499,,CENTER RIDGE RD & WOOSTER PARK DR,,41.465601,-81.839146,,,0,
500,,BAGLEY DR & PLEASANT ST,,41.372407,-81.839521,,,0,
501,,19700 LAKESHORE BLVD,,41.599869,-81.542314,,,0,
502,,19707 HARVARD AV,,41.449928,-81.540781,,,0,
505,,19750 ST. CLAIR AV,,41.577964,-81.541504,,,0,
506,,19751 ST. CLAIR AV,,41.578028,-81.541608,,,0,
509,,BAGLEY DR & PLEASANT ST,,41.372233,-81.839403,,,0,
521,,20115 HARVARD AV,,41.449952,-81.537558,,,0,
522,,20123 LORAIN RD,,41.449188,-81.842577,,,0,
524,,2020 N TAYLOR RD,,41.534634,-81.566998,,,0,
531,,RIVERSIDE DR & MADISON AV,,41.477449,-81.820277,,,0,
532,,2037 N TAYLOR RD,,41.534718,-81.566911,,,0,
538,,20500 ST. CLAIR AV,,41.58131,-81.535887,,,0,
544,,20600 LORAIN RD,,41.447838,-81.848311,,,0,
545,,20627 LORAIN RD,,41.447504,-81.848979,,,0,
546,,2064 STEARNS RD,,41.502392,-81.609213,,,0,
549,,20667 ELLACOTT PKWY,,41.441503,-81.533183,,,0,
550,,20667 ELLACOTT PKWY,,41.441586,-81.533376,,,0,
554,,2074 ADELBERT RD,,41.504686,-81.60736,,,0,
559,,20900 ST. CLAIR AV,,41.581292,-81.53564,,,0,
564,,20955 ELLACOTT PKWY,,41.441679,-81.531322,,,0,
571,,21051 ELLACOTT PKWY,,41.441642,-81.531264,,,0,
572,,21100 SOUTHGATE PARK BLVD,,41.414583,-81.53161,,,0,
573,,21100 SOUTHGATE PARK BLVD,,41.414472,-81.53201,,,0,
574,,SOUTHGATE TRANSIT CENTER STOP #3,,41.412777,-81.536584,,,0,
578,,21170 ELLACOTT PKWY,,41.441793,-81.530004,,,0,
586,,21119 ST. CLAIR AV,,41.582966,-81.532767,,,0,
587,,21300 ST. CLAIR AV,,41.582879,-81.532676,,,0,
588,,WESTGATE TRANSIT CENTER,,41.460951,-81.854919,,,0,
589,,21357 ELLACOTT PKWY,,41.44185,-81.528977,,,0,
591,,2130 ADELBERT RD,,41.503476,-81.60566,,,0,
